epoch:42	trainacc=0.9910848991907831	trainloss=0.024766036048224672	acc=0.7757496740547588	prec=0.8063583815028902	f1=0.7643835616438357	auc=0.860024341818973	spec=0.825065274151436	mcc=0.5542835966868218	auprc=0.851494969403417	sensitivity=0.7265625
epoch:43	trainacc=0.9897133452201344	trainloss=0.031469202941927364	acc=0.7457627118644068	prec=0.8058252427184466	f1=0.7186147186147185	auc=0.8623735313315927	spec=0.8433420365535248	mcc=0.501329745888919	auprc=0.8641143045313822	sensitivity=0.6484375
epoch:44	trainacc=0.990742010698121	trainloss=0.028644835559530495	acc=0.7913950456323338	prec=0.7916666666666666	f1=0.7916666666666666	auc=0.8880480308964318	spec=0.7911227154046997	mcc=0.5827893820713664	auprc=0.896610054389511	sensitivity=0.7916666666666666
epoch:45	trainacc=0.9903305445069264	trainloss=0.030260952876944216	acc=0.7679269882659713	prec=0.8047337278106509	f1=0.7534626038781164	auc=0.8677858463881636	spec=0.8276762402088773	mcc=0.5398219622595741	auprc=0.8740355435919567	sensitivity=0.7083333333333334
epoch:46	trainacc=0.9935536963379509	trainloss=0.022007925331887238	acc=0.7796610169491526	prec=0.8287461773700305	f1=0.7623066104078763	auc=0.8843967580504787	spec=0.8537859007832899	mcc=0.5656874852846854	auprc=0.8920369250821948	sensitivity=0.7057291666666666
epoch:47	trainacc=0.9915649430805102	trainloss=0.026839389338533033	acc=0.7614080834419817	prec=0.762402088772846	f1=0.7614080834419817	auc=0.8581919060052219	spec=0.762402088772846	mcc=0.5228187554395126	auprc=0.8698758236890536	sensitivity=0.7604166666666666
epoch:48	trainacc=0.9924564531614319	trainloss=0.03011468436183746	acc=0.7522816166883963	prec=0.7904191616766467	f1=0.7353760445682451	auc=0.8523206320713663	spec=0.8172323759791122	mcc=0.5089896847567659	auprc=0.8589695406939335	sensitivity=0.6875
epoch:49	trainacc=0.9923878754628994	trainloss=0.02428081528329806	acc=0.7614080834419817	prec=0.8150470219435737	f1=0.7396870554765294	auc=0.8568184290687555	spec=0.8459530026109661	mcc=0.5305942160803809	auprc=0.8337186659071241	sensitivity=0.6770833333333334
epoch:50	trainacc=0.9939651625291456	trainloss=0.01966407242134294	acc=0.7666232073011734	prec=0.8213166144200627	f1=0.7453769559032716	auc=0.871729493037424	spec=0.8511749347258486	mcc=0.5411751989656614	auprc=0.8650146137585095	sensitivity=0.6822916666666666
acc=0.8522668056279312	prec=0.8197729422894986	recall=0.9030745179781136	f1=0.8594098685841804	auc=0.9198440976266243	spec=0.8014590932777488	mcc=0.7081994242905254	auprc=0.9031453505711613	sensitivity=0.9030745179781136
epoch:1	trainacc=0.7147167741050611	trainloss=0.5461653638017885	acc=0.7314211212516297	prec=0.7004504504504504	f1=0.751207729468599	auc=0.8074752502175805	spec=0.6527415143603134	mcc=0.4685036108515199	auprc=0.776541383963155	sensitivity=0.8098958333333334
epoch:2	trainacc=0.7931696612261693	trainloss=0.4424175881268617	acc=0.7561929595827901	prec=0.7109207708779444	f1=0.7802585193889542	auc=0.850624184073107	spec=0.6475195822454308	mcc=0.5246904746087088	auprc=0.8474680367788786	sensitivity=0.8645833333333334
epoch:3	trainacc=0.8472774653682622	trainloss=0.3522515675228553	acc=0.7940026075619296	prec=0.8121546961325967	f1=0.7882037533512065	auc=0.8706823868581375	spec=0.8224543080939948	mcc=0.5890051621839928	auprc=0.8626038435490806	sensitivity=0.765625
epoch:4	trainacc=0.8837608009875189	trainloss=0.28353846144130385	acc=0.7144719687092569	prec=0.7619047619047619	f1=0.6866952789699571	auc=0.8192993907745866	spec=0.804177545691906	mcc=0.43619179974444783	auprc=0.8082147494273315	sensitivity=0.625
epoch:5	trainacc=0.9045398436428473	trainloss=0.24094597339192966	acc=0.7496740547588006	prec=0.7651933701657458	f1=0.742627345844504	auc=0.8475032637075717	spec=0.7780678851174935	mcc=0.5002083265993347	auprc=0.8624432742854709	sensitivity=0.7213541666666666
epoch:6	trainacc=0.9229186668495405	trainloss=0.2016825350812642	acc=0.7548891786179922	prec=0.8081761006289309	f1=0.7321937321937322	auc=0.8382968885987815	spec=0.8407310704960835	mcc=0.5176069105995815	auprc=0.8502397215632447	sensitivity=0.6692708333333334
epoch:7	trainacc=0.9338910986147305	trainloss=0.1737068393166295	acc=0.7314211212516297	prec=0.7870967741935484	f1=0.7031700288184438	auc=0.821760770234987	spec=0.8276762402088773	mcc=0.4718393764095059	auprc=0.8232788655013041	sensitivity=0.6354166666666666
